K1009980,11108,297
K1009980,14360,91
K1009980,1814e,298
K1009980,20662,102
K1009980,5447,80
K1010133,10375,99
K1010133,11396,218
K1010133,1390,84
K1010133,15834,86
K1010133,20556,27
K1010133,25276,95
K1010133,38754,66
K1010133,38989,113
K1010133,4423,112
K1010133,4644,102
K1010133,7769,115
K1010133,8678,103
K1042494,14401,103
K1042494,23437,105
K1042494,24147,101
K1043445,14179,117
K1043445,14401,6
K1043445,25216,93
K1043445,26355,5
K1043445,27371,96
K1043445,27596,96
K1043445,2863,111
K1043445,30658,98
K1043445,3214,99
K1043445,3224,128
K1043445,33717,6
K1043445,34225,102
K1043445,38754,107
K1043445,39050,68
K1043445,4851,5
K1043445,5167,90
K1043445,6044,6
K1043445,8492,6
K1062430,16357,164
K1062430,3214,130
K1062430,35509,126
K1062430,38725,88
K1093613,11108,128
K1093613,13301,120
K1093613,14889,103
K1093613,18045,27
K1093613,25276,112
K1093613,26222,87
K1093613,26355,72
K1093613,32353,140
K1131638,24147,94
K1131638,30684,107
K1131638,34441,84
K1131638,39475,14
K1131638,5167,74
K1131638,8678,138
K1142917,10375,338
K1142917,11396,51
K1142917,14401,71
K1142917,17396,33
K1142917,17462,103
K1142917,18045,61
K1142917,19550,47
K1142917,2028,88
K1142917,22487,94
K1142917,23437,6
K1142917,29107,86
K1142917,30887,125
K1142917,30989,84
K1142917,33406,89
K1142917,38725,83
K1142917,6228,109
K1142917,9654,6
K1154065,12781,69
K1154065,15607,76
K1154065,16324,88
K1154065,33446,70
K1154065,34225,108
K1154065,34259,80
K1154065,37881,93
K1154065,39475,107
K1154065,4644,104
K1154065,6546,91
K1157974,10033,5
K1157974,10375,87
K1157974,11326e,186
K1157974,14601,106
K1157974,16083,6
K1157974,16310,6
K1157974,16714,6
K1157974,1770,6
K1157974,19293,66
K1157974,20306,5
K1157974,22938,59
K1157974,23767,26
K1157974,24974,5
K1157974,25785,6
K1157974,26342,29
K1157974,3249,5
K1157974,32930e,143
K1157974,33473,117
K1157974,34225,101
K1157974,35438,75
K1157974,35680,6
K1157974,38067,6
K1157974,4059,6
K1157974,5232,6
K1157974,5447,67
K1157974,6907,9
K1157974,7194,144
K1160889,13069,110
K1160889,26120,86
K1160889,27370,417
K1160889,30887,272
K1160889,32353,79
K1160889,36667e,361
K1160889,36709,100
K1160889,7014,101
K1169676,10375,128
K1169676,10391,73
K1169676,25785,83
K1169676,33898,6
K1169676,39475,98
K1169676,39851,100
K1169676,5232,78
K1169676,6232,5
K1169676,7194,105
K1174559,10375,266
K1174559,2816,71
K1174559,31937e,64
K1174559,32353,83
K1174559,38586,102
K1174559,4029e,260
K1194751,10375,105
K1194751,11734,81
K1194751,11849,111
K1194751,13868,91
K1194751,14401,72
K1194751,20556,49
K1194751,21460,72
K1194751,22564,131
K1194751,23171,102
K1194751,27295,18
K1194751,28926,117
K1194751,29495,65
K1194751,29514,98
K1194751,31301,107
K1194751,4423,96
K1194751,8678,93
K1197055,11108,446
K1197055,11326e,192
K1197055,15523e,362
K1197055,18728,101
K1197055,22487,5
K1197055,28362,5
K1219652,11363,5
K1219652,11396,6
K1219652,12905,6
K1219652,14502,96
K1219652,14617,94
K1219652,17733,81
K1219652,21070,103
K1219652,21304,657
K1219652,21460,5
K1219652,22564,6
K1219652,24147,68
K1219652,27930,5
K1219652,28129,5
K1219652,28415,5
K1219652,2863,6
K1219652,3214,5
K1219652,33446,97
K1219652,34351e,77
K1219652,34517,96
K1219652,35119,100
K1219652,36232,6
K1219652,36851e,191
K1219652,38119,5
K1219652,3846,90
K1219652,38754,91
K1219652,5167,92
K1219652,6228,74
K1219652,8209,80
K1219652,9232,97
K1235874,14171,6
K1235874,14401,100
K1235874,14749,6
K1235874,19550,96
K1235874,19857,6
K1235874,26355,189
K1235874,2905,5
K1235874,2954,100
K1235874,38870,5
K1243693,10852,6
K1243693,10992,6
K1243693,11363,5
K1243693,12163,5
K1243693,12905,6
K1243693,13069,5
K1243693,13301,6
K1243693,13650,70
K1243693,14502,6
K1243693,14535,83
K1243693,14889,4
K1243693,1561,94
K1243693,15924,83
K1243693,16233,92
K1243693,2028,104
K1243693,20624,6
K1243693,20662,5
K1243693,21304,6
K1243693,2256,178
K1243693,23437,112
K1243693,23492,75
K1243693,25729,127
K1243693,28129,6
K1243693,2815,123
K1243693,28653,90
